freq	morph	lang	stem	morph_type	person	gender	number	state	pos	lexical_class	distinct_variants
1	Vpi1cp	A	pael	yiqtol	first	common	plural		verb	verb	1
1	Vpi2mp	A	pael	yiqtol	second	masculine	plural		verb	verb	1
1	Vhv2mp	A	haphel	imperative	second	masculine	plural		verb	verb	1
1	Aobpa	A		ordinal number		both	plural	absolute	adjective	adv	1
1	Pp2mp	A		personal	second	masculine	plural		pronoun	pron	1
1	Ngbsa	A		gentilic		both	singular	absolute	noun	noun	1
1	VMc	A	hithpaal	infinitive construct					verb	verb	1
1	Vhrfsa	A	haphel	participle active		feminine	singular	absolute	verb	verb	1
1	Vpsfpd	A	pael	participle passive		feminine	plural	determined	verb	verb	1
1	Vpi1cs	A	pael	yiqtol	first	common	singular		verb	verb	1
1	Pdxbs	A		demonstrative		both	singular		pronoun	adj	1
1	Pd3ms	A		demonstrative	third	masculine	singular		pronoun	pron	1
1	Vap3ms	A	aphel	qatal	third	masculine	singular		verb	verb	1
1	Pi3cs	A		interrogative	third	common	singular		pronoun	pron	1
1	Ncmdc	A		common		masculine	dual	construct	noun	noun	1
1	VPp3ms	A	ithpaal	qatal	third	masculine	singular		verb	verb	1
1	Vpsmpa	A	pael	participle passive		masculine	plural	absolute	verb	verb	1
1	Aomsd	A		ordinal number		masculine	singular	determined	adjective	num	1
1	Vup3mp	A	hithpeel	qatal	third	masculine	plural		verb	verb	1
1	Ngmsc	A		gentilic		masculine	singular	construct	noun	noun	1
1	Vav2mp	A	aphel	imperative	second	masculine	plural		verb	verb	1
1	Vzp3ms	A	ithpoel	qatal	third	masculine	singular		verb	verb	1
1	Sp1ms	A		pronominal	first	masculine	singular		suffix	pron	1
1	Pixbs	A		interrogative		both	singular		pronoun	pron	1
1	Vormsa	A	polel	participle active		masculine	singular	absolute	verb	verb	1
1	Acmsd	A		cardinal number		masculine	singular	determined	adjective	num	1
1	Vprmsc	A	pael	participle active		masculine	singular	construct	verb	verb	1
1	Vprmpc	A	pael	participle active		masculine	plural	construct	verb	verb	1
1	Vqi3fp	A	peal	yiqtol	third	feminine	plural		verb	verb	1
1	Vhi1cs	A	haphel	yiqtol	first	common	singular		verb	verb	1
1	Sp3cs	A		pronominal	third	common	singular		suffix	pron	1
1	Vrp2ms	A	hithpolel	qatal	second	masculine	singular		verb	verb	1
1	VQi2ms	A	peil	yiqtol	second	masculine	singular		verb	verb	1
1	Vup2ms	A	hithpeel	qatal	second	masculine	singular		verb	verb	1
1	VPp3mp	A	ithpaal	qatal	third	masculine	plural		verb	verb	1
1	VQsfpa	A	peil	participle passive		feminine	plural	absolute	verb	verb	1
1	Vermsa	A	shaphel	participle active		masculine	singular	absolute	verb	verb	1
1	Varfpa	A	aphel	participle active		feminine	plural	absolute	verb	verb	1
1	Ncbpc	A		common		both	plural	construct	noun	noun	1
1	Vpsfsa	A	pael	participle passive		feminine	singular	absolute	verb	verb	1
1	Vip3mp	A	ithpeel	qatal	third	masculine	plural		verb	verb	1
